Citizenship,January,February,March,April,May,June,July,August,September,October,November,December,Grand Total
Singapore,15 ,6 ,11 ,7 ,8 ,2 ,5 ,6 ,8 ,18 ,35 ,61 ,182 
Australia,9 ,3 ,2 ,1 ,3 ,1 ,2 ,8 ,1 ,13 ,22 ,29 ,94 
New Zealand,0 ,2 ,0 ,0 ,1 ,2 ,3 ,0 ,2 ,1 ,5 ,5 ,21 
Canada,5 ,1 ,1 ,1 ,1 ,0 ,0 ,1 ,2 ,9 ,11 ,21 ,53 
United Kingdom,12 ,4 ,14 ,3 ,14 ,9 ,10 ,7 ,8 ,26 ,43 ,50 ,200 
Hong Kong,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,11 ,84 ,80 ,116 ,295 
Sri Lanka,16 ,5 ,7 ,3 ,0 ,0 ,3 ,3 ,0 ,2 ,3 ,7 ,49 
Bangladesh,23 ,15 ,18 ,10 ,1 ,2 ,2 ,11 ,1 ,17 ,5 ,7 ,112 
India,250 ,151 ,105 ,151 ,136 ,113 ,107 ,174 ,153 ,156 ,229 ,344 ,2069 
Brunei,315 ,415 ,413 ,376 ,256 ,293 ,373 ,267 ,237 ,206 ,318 ,341 ,3810 
United States of America,4 ,2 ,1 ,0 ,3 ,0 ,0 ,0 ,1 ,8 ,6 ,6 ,31 
China,298 ,116 ,219 ,83 ,213 ,101 ,47 ,114 ,14 ,83 ,72 ,76 ,1436 
Russia,3 ,2 ,3 ,2 ,7 ,0 ,1 ,0 ,0 ,4 ,2 ,5 ,29 
Latin America,4 ,75 ,0 ,2 ,1 ,0 ,3 ,0 ,0 ,1 ,3 ,2 ,91 
Arabs,5 ,0 ,21 ,21 ,22 ,5 ,46 ,1 ,23 ,5 ,37 ,48 ,234 
Germany,6 ,1 ,1 ,2 ,0 ,0 ,4 ,0 ,2 ,4 ,9 ,23 ,52 
France,2 ,0 ,1 ,1 ,1 ,0 ,2 ,2 ,4 ,7 ,10 ,30 ,60 
Europe,28 ,7 ,5 ,5 ,3 ,5 ,11 ,27 ,22 ,39 ,55 ,30 ,237 
Philippines,345 ,233 ,182 ,199 ,149 ,184 ,159 ,162 ,162 ,143 ,224 ,278 ,2420 
Thailand,128 ,18 ,16 ,21 ,20 ,16 ,16 ,60 ,19 ,22 ,32 ,57 ,425 
Taiwan,2 ,1 ,0 ,3 ,3 ,5 ,1 ,1 ,16 ,24 ,11 ,26 ,93 
Indonesia,818 ,429 ,637 ,508 ,505 ,457 ,439 ,1395 ,486 ,571 ,861 ,867 ,7973 
Pakistan,5 ,3 ,11 ,24 ,2 ,24 ,3 ,21 ,3 ,14 ,32 ,25 ,167 
Japan,11 ,3 ,7 ,11 ,7 ,5 ,8 ,12 ,4 ,11 ,39 ,44 ,162 
South Korea,15 ,13 ,6 ,11 ,7 ,20 ,15 ,14 ,48 ,52 ,73 ,69 ,343 
Total Foreigner,2319 ,1505 ,1681 ,1445 ,1363 ,1244 ,1260 ,2290 ,1227 ,1520 ,2217 ,2567 ,20638 
Peninsular Malaysia,5540 ,3417 ,4194 ,5329 ,4143 ,2915 ,3487 ,2679 ,3795 ,11888 ,29592 ,46304 ,123283 
Sabah,4787 ,3952 ,5086 ,5973 ,4749 ,4207 ,4389 ,3726 ,4274 ,7422 ,15220 ,25799 ,89584 
Malaysia,10327 ,7369 ,9280 ,11302 ,8892 ,7122 ,7876 ,6405 ,8069 ,19310 ,44812 ,72103 ,212867 
Grand Total (Foreigner + Malaysia),12646 ,8874 ,10961 ,12747 ,10255 ,8366 ,9136 ,8695 ,9296 ,20830 ,47029 ,74670 ,233505 
